Tipo nave (agrupado),TRG,Puerto origen,Puerto destino,Agencia,Sitio,Línea naviera,Servicio,service_time_hours,Calado arribo,Calado diff,covid_era,atraque_hour_sin,atraque_hour_cos,atraque_dayofweek_sin,atraque_dayofweek_cos,atraque_month_sin,atraque_month_cos
Container,50736,IQUIQUE,SAN VICENTE,82728500-5 - IAN TAYLOR,Sitio 2,MAERSK LINE,84Q ATACAMA FEEDER,21.8,10.25,1.85,during,-0.866025,0.5,0.781831,0.62349,0.866025,-0.5
Container,39941,RIO GRANDE - RS,CALLAO,82728500-5 - IAN TAYLOR,Sitio 2,MAERSK LINE,U4Gabac,17.933333333333334,11.7,0.6,during,1.0,0.0,-0.974928,-0.222521,0.866025,-0.5
Container,42609,IQUIQUE,SAN VICENTE,82728500-5 - IAN TAYLOR,C1,MAERSK LINE,84Q ATACAMA FEEDER,15.15,8.825,0.125,during,1.0,0.0,0.974928,-0.222521,0.866025,-0.5
Container,26836,RIO GRANDE - RS,CALLAO,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,U4Gabac,14.383333333333333,10.55,0.425,during,1.0,0.0,-0.974928,-0.222521,0.866025,-0.5
Container,90107,MEJILLONES,SAN VICENTE,82728500-5 - IAN TAYLOR,Sitio 2,MAERSK LINE,699/ AC3,36.25,10.425,1.225,during,0.965926,-0.258819,0.0,1.0,0.866025,-0.5
Container,89505,MEJILLONES,TAURANGA,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,699/ AC3,31.25,10.55,0.625,during,0.965926,0.258819,0.0,1.0,0.866025,-0.5
Vehicle Carrier,59217,SHANGHAI,IQUIQUE,82728500-5 - IAN TAYLOR,Sitio 4/5,EUKOR,CAR CARRIERS,67.81666666666666,9.2,2.7,during,0.258819,-0.965926,-0.974928,-0.222521,0.866025,-0.5
Container,99995,CALLAO,HONG KONG,80992000-3 - ULTRAMAR,Sitio 2,EVERGREEN,WSA,48.16666666666666,12.0,0.15,during,-0.5,-0.866025,0.0,1.0,0.866025,-0.5
Container,97805,CALLAO,CORONEL,96707720-8 - MSC,C1,MSC,SAWC-USA-NWC,15.966666666666669,9.3,1.15,during,1.0,0.0,0.781831,0.62349,0.866025,-0.5
Dry Bulk,32371,BAHIA BLANCA,BAHIA BLANCA,80010900-0 - AGENTAL,Sitio 8,NON-LINER,NO SERVICE,116.0,12.2,6.51,during,0.866025,0.5,0.974928,-0.222521,0.866025,-0.5
Container,153115,CALLAO,CORONEL,96707720-8 - MSC,Sitio 1,MSC,Andes,43.583333333333336,11.0,1.45,during,-0.965926,0.258819,0.781831,0.62349,0.866025,-0.5
Container,43628,IQUIQUE,SAN VICENTE,82728500-5 - IAN TAYLOR,C2,MAERSK LINE,84Q ATACAMA FEEDER,15.833333333333334,9.5,0.2,during,-0.707107,0.707107,0.781831,0.62349,0.866025,-0.5
Liquid Bulk,15659,MEJILLONES,MEJILLONES,80992000-3 - ULTRAMAR,Sitio 3,ULTRAGAS,CABOTAJE,44.86666666666667,6.12,-4.855,during,0.866025,-0.5,0.781831,0.62349,1.0,0.0
Container,93685,ANTOFAGASTA,CORONEL,80992000-3 - ULTRAMAR,Sitio 1,NON-LINER,NO SERVICE,19.25,10.05,0.5,during,-0.965926,0.258819,-0.433884,-0.900969,1.0,0.0
Container,26412,CALLAO,CALLAO,82728500-5 - IAN TAYLOR,Sitio 3,CMA CGM,Americas XL,12.5,7.4,-2.8,during,0.5,-0.866025,0.433884,-0.900969,0.866025,-0.5
Dry Bulk,23494,SAN LORENZO,PATILLOS,78610880-2 - INCHCAPE,Sitio 4/5,NON-LINER,NO SERVICE,84.18333333333334,9.72,4.605,during,-0.866025,0.5,0.974928,-0.222521,0.866025,-0.5
Container,26671,CALLAO,CALLAO,82728500-5 - IAN TAYLOR,C2,CMA CGM,Americas XL,23.23333333333333,8.2,-0.675,during,-0.258819,-0.965926,0.433884,-0.900969,0.866025,-0.5
Container,113042,CALLAO,LIRQUEN,96566940-k - AGUNSA,Sitio 1,ONE,AX2,39.71666666666667,10.35,1.5,during,0.965926,0.258819,-0.433884,-0.900969,0.866025,-0.5
Vehicle Carrier,55729,IQUIQUE,other_destinations,96566940-k - AGUNSA,C1,HYUNDAI GLOVIS INC.,CAR CARRIERS,20.2,7.6,0.4,during,0.5,-0.866025,0.433884,-0.900969,0.866025,-0.5
Container,17907,CALLAO,CALLAO,96566940-k - AGUNSA,C1,ZIM,Colibri Express,17.166666666666668,6.7,-0.15,during,0.866025,-0.5,-0.433884,-0.900969,0.866025,-0.5
General Cargo,18405,QUINTERO,SAN ANTONIO - CL,78986820-4 - B&M,Sitio 9,NON-LINER,NO SERVICE,11.083333333333334,8.55,0.7,post,-1.0,-0.0,-0.781831,0.62349,0.5,-0.866025
Container,40146,CALLAO,CALLAO,80992000-3 - ULTRAMAR,C1,HAPAG-LLOYD CHILE SPA,Eurosal,22.116666666666667,6.0,-3.0,during,1.0,0.0,0.974928,-0.222521,0.866025,-0.5
Container,39106,RIO GRANDE - RS,CALLAO,80992000-3 - ULTRAMAR,Sitio 2,HAPAG-LLOYD CHILE SPA,SERVICIO CONOSUR / ABAC,27.25,12.09,-0.16,during,-0.707107,0.707107,-0.433884,-0.900969,0.866025,-0.5
Vehicle Carrier,60387,IQUIQUE,SANTOS - SP,96566940-k - AGUNSA,Sitio 4/5,HYUNDAI GLOVIS INC.,CAR CARRIERS,19.466666666666665,8.1,0.0,during,0.258819,-0.965926,0.974928,-0.222521,0.866025,-0.5
Dry Bulk,24940,NEW ORLEANS INT. APT,SAN ANTONIO - CL,78986820-4 - B&M,Sitio 2,NON-LINER,NO SERVICE,58.11666666666667,9.65,1.85,during,0.965926,-0.258819,0.974928,-0.222521,0.866025,-0.5
Vehicle Carrier,41886,CALLAO,SHANGHAI,78610880-2 - INCHCAPE,C1,NON-LINER,NO SERVICE,23.3,7.8,0.55,during,-0.5,-0.866025,-0.974928,-0.222521,0.866025,-0.5
General Cargo,18405,QUINTERO,SAN ANTONIO - CL,78986820-4 - B&M,Sitio 3,NON-LINER,NO SERVICE,9.916666666666666,8.55,0.7,post,0.0,1.0,0.974928,-0.222521,0.5,-0.866025
Dry Bulk,22697,ROSARIO,BALBOA,80992000-3 - ULTRAMAR,Sitio 8,NON-LINER,NO SERVICE,107.33333333333331,9.815,-0.01,post,-0.866025,0.5,-0.433884,-0.900969,0.5,-0.866025
Vehicle Carrier,62388,CALLAO,SHANGHAI,78610880-2 - INCHCAPE,Sitio 4/5,NON-LINER,NO SERVICE,14.8,7.85,0.45,during,0.866025,0.5,0.781831,0.62349,0.5,-0.866025
Liquid Bulk,15659,MEJILLONES,MEJILLONES,80992000-3 - ULTRAMAR,Sitio 3,ULTRAGAS,CABOTAJE,22.5,6.31,-2.69,during,0.965926,-0.258819,0.433884,-0.900969,0.866025,-0.5
Container,6406,LIRQUEN,PUNTA ARENAS,80992000-3 - ULTRAMAR,C2,TRANSMARES,CABOTAJE SUR,21.25,4.84,-0.91,during,-1.0,-0.0,-0.974928,-0.222521,0.866025,-0.5
Container,90645,LIRQUEN,MANZANILLO - MX,80925100-4 - SOMARCO,Sitio 1,COSCO GROUP,WSA3,24.83333333333333,12.15,0.05,during,-0.5,0.866025,-0.974928,-0.222521,0.866025,-0.5
Liquid Bulk,16452,QUINTERO,MEJILLONES,82728500-5 - IAN TAYLOR,Sitio 9,MOL,CAR CARRIERS,17.35,6.3,0.8,during,-0.258819,0.965926,-0.974928,-0.222521,0.866025,-0.5
Dry Bulk,34618,BAHIA BLANCA,BALBOA,80992000-3 - ULTRAMAR,Sitio 8,NON-LINER,NO SERVICE,116.41666666666669,12.2,4.7,during,0.5,0.866025,0.0,1.0,0.866025,-0.5
Container,92198,MEJILLONES,TAURANGA,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,699/ AC3,30.416666666666668,11.4,0.65,during,-0.707107,-0.707107,0.0,1.0,0.866025,-0.5
Container,112836,CALLAO,CORONEL,96707720-8 - MSC,C1,MSC,SAWC-USA-NWC,16.95,8.7,2.1,during,-0.707107,0.707107,0.0,1.0,0.866025,-0.5
Dry Bulk,8750,SHANGHAI,ANGAMOS,82728500-5 - IAN TAYLOR,C2,BBC,USA,52.5,4.9,0.15,during,-0.258819,-0.965926,0.0,1.0,0.866025,-0.5
Container,25145,CALLAO,CALLAO,82728500-5 - IAN TAYLOR,C2,CMA CGM,Americas XL,36.38333333333333,8.05,-0.6,during,-0.258819,-0.965926,0.433884,-0.900969,0.866025,-0.5
Container,99995,CALLAO,HONG KONG,80992000-3 - ULTRAMAR,Sitio 2,EVERGREEN,WSA,45.66666666666666,12.1,0.4,during,0.965926,-0.258819,0.0,1.0,0.866025,-0.5
Container,41359,IQUIQUE,SAN VICENTE,82728500-5 - IAN TAYLOR,C1,MAERSK LINE,84Q ATACAMA FEEDER,15.766666666666667,9.2,0.8,during,-0.866025,0.5,0.781831,0.62349,0.866025,-0.5
Dry Bulk,34618,BAHIA BLANCA,BALBOA,80992000-3 - ULTRAMAR,Sitio 8,NON-LINER,NO SERVICE,5.916666666666667,12.2,4.7,during,-0.707107,0.707107,0.0,1.0,0.5,-0.866025
Liquid Bulk,21231,QUINTERO,SAN VICENTE,78986820-4 - B&M,Sitio 3,NON-LINER,NO SERVICE,25.25,7.4,-0.55,during,1.0,0.0,0.974928,-0.222521,0.866025,-0.5
Container,40465,CALLAO,LIRQUEN,80925100-4 - SOMARCO,Sitio 1,COSCO GROUP,WSA3,20.666666666666668,11.15,2.55,during,-0.707107,0.707107,0.974928,-0.222521,0.866025,-0.5
Container,39941,ANTOFAGASTA,SAN VICENTE,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,U4Gabac,25.666666666666668,9.8,0.95,during,-0.965926,0.258819,0.433884,-0.900969,0.866025,-0.5
Liquid Bulk,21231,QUINTERO,SAN VICENTE,78986820-4 - B&M,Sitio 9,NON-LINER,NO SERVICE,22.433333333333334,7.4,-0.55,during,-0.866025,0.5,0.433884,-0.900969,0.866025,-0.5
Container,120000,CALLAO,CALLAO,80992000-3 - ULTRAMAR,C1,HAPAG-LLOYD CHILE SPA,Eurosal,48.0,9.825,-1.425,during,0.0,1.0,0.433884,-0.900969,0.866025,-0.5
Vehicle Carrier,60118,ZARATE,CALLAO,80992000-3 - ULTRAMAR,Sitio 4/5,MOL,NASS,9.133333333333333,9.145,0.19,during,0.965926,0.258819,-0.433884,-0.900969,0.866025,-0.5
Container,43628,RIO GRANDE - RS,CALLAO,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,U4Gabac,25.33333333333333,12.0,1.15,during,-0.258819,-0.965926,-0.974928,-0.222521,0.866025,-0.5
Container,101063,CALLAO,HONG KONG,80992000-3 - ULTRAMAR,Sitio 2,EVERGREEN,WSA,47.41666666666666,11.85,0.35,during,0.0,1.0,0.781831,0.62349,0.5,-0.866025
Container,90757,LIRQUEN,MANZANILLO - MX,80925100-4 - SOMARCO,Sitio 2,COSCO GROUP,WSA3,12.1,10.45,-1.4,post,0.707107,-0.707107,0.781831,0.62349,0.5,-0.866025
Container,18848,other_origins,CALLAO,96566940-k - AGUNSA,Sitio 3,ZIM,Colibri Express,33.05,5.75,-0.8,during,-0.5,-0.866025,0.433884,-0.900969,0.866025,-0.5
Container,90757,CALLAO,LIRQUEN,80925100-4 - SOMARCO,Sitio 2,COSCO GROUP,WSA3,32.5,11.3,2.4,during,0.707107,0.707107,0.433884,-0.900969,0.5,-0.866025
Dry Bulk,25010,SAN LORENZO,SAN ANTONIO - CL,78986820-4 - B&M,Sitio 8,NON-LINER,NO SERVICE,73.31666666666666,9.77,4.515,during,1.0,0.0,0.781831,0.62349,0.5,-0.866025
Dry Bulk,36396,SANTOS - SP,BALBOA,80992000-3 - ULTRAMAR,Sitio 8,NON-LINER,NO SERVICE,102.75,10.52,4.84,post,0.5,-0.866025,-0.433884,-0.900969,0.5,-0.866025
Container,50736,IQUIQUE,SAN VICENTE,82728500-5 - IAN TAYLOR,C2,MAERSK LINE,84Q ATACAMA FEEDER,18.75,8.4,0.05,during,0.258819,-0.965926,0.781831,0.62349,0.5,-0.866025
Container,40465,LIRQUEN,MANZANILLO - MX,80925100-4 - SOMARCO,Sitio 1,COSCO GROUP,WSA3,8.583333333333334,10.1,-1.25,during,0.965926,0.258819,0.974928,-0.222521,0.5,-0.866025
Dry Bulk,8750,SHANGHAI,ANGAMOS,82728500-5 - IAN TAYLOR,C2,BBC,USA,13.916666666666666,4.9,0.15,during,0.965926,-0.258819,0.974928,-0.222521,0.5,-0.866025
Liquid Bulk,10866,NEW ORLEANS INT. APT,NEW ORLEANS INT. APT,76902117-5 - MTA,Sitio 9,NON-LINER,NO SERVICE,30.5,9.0,1.94,during,0.866025,0.5,0.433884,-0.900969,0.5,-0.866025
Container,66433,CALLAO,HONG KONG,80925100-4 - SOMARCO,Sitio 2,COSCO GROUP,WSA,28.383333333333333,11.45,0.5,post,-0.258819,0.965926,0.781831,0.62349,0.5,-0.866025
Liquid Bulk,10866,NEW ORLEANS INT. APT,NEW ORLEANS INT. APT,76902117-5 - MTA,Sitio 9,NON-LINER,NO SERVICE,8.75,9.0,1.94,during,0.0,-1.0,0.781831,0.62349,0.5,-0.866025
Container,149525,CALLAO,LIRQUEN,96707720-8 - MSC,Sitio 1,MSC,Andes,61.53333333333333,11.0,0.5,during,-0.707107,-0.707107,0.974928,-0.222521,0.5,-0.866025
Container,94930,CALLAO,CORONEL,96707720-8 - MSC,C1,MSC,SAWC-USA-NWC,14.216666666666669,8.6,1.1,during,0.965926,-0.258819,0.781831,0.62349,0.5,-0.866025
Container,20239,SHANGHAI,CALLAO,96566940-k - AGUNSA,C2,ZIM,Colibri Express,35.166666666666664,7.9,2.05,post,1.0,0.0,-0.433884,-0.900969,0.5,-0.866025
Liquid Bulk,10866,NEW ORLEANS INT. APT,NEW ORLEANS INT. APT,76902117-5 - MTA,Sitio 9,NON-LINER,NO SERVICE,9.983333333333333,9.0,1.94,post,-1.0,-0.0,-0.433884,-0.900969,0.5,-0.866025
Container,123560,CALLAO,CALLAO,80992000-3 - ULTRAMAR,C1,HAPAG-LLOYD CHILE SPA,Eurosal,79.03333333333333,13.375,0.575,during,-0.258819,0.965926,0.781831,0.62349,0.5,-0.866025
Container,96223,CALLAO,CALLAO,82728500-5 - IAN TAYLOR,C1,CMA CGM,Eurosal,58.43333333333333,9.7,-0.4,post,-0.866025,0.5,0.781831,0.62349,0.5,-0.866025
Container,112836,CALLAO,CORONEL,96707720-8 - MSC,C1,MSC,SAWC-USA-NWC,21.683333333333334,8.725,1.975,post,-0.707107,0.707107,0.0,1.0,0.5,-0.866025
Container,6385,LIRQUEN,PUNTA ARENAS,80992000-3 - ULTRAMAR,Sitio 2,TRANSMARES,CABOTAJE SUR,19.5,4.8,-1.525,post,-0.5,-0.866025,-0.974928,-0.222521,0.5,-0.866025
Container,143521,CALLAO,CORONEL,96707720-8 - MSC,Sitio 1,MSC,Andes,56.66666666666666,11.6,1.5,post,1.0,0.0,0.433884,-0.900969,0.5,-0.866025
Container,18848,SAN VICENTE,SAN VICENTE,80992000-3 - ULTRAMAR,C1,NON-LINER,NO SERVICE,19.7,6.05,0.0,post,0.5,-0.866025,-0.974928,-0.222521,0.5,-0.866025
Container,96386,MEJILLONES,TAURANGA,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,699/ AC3,41.16666666666666,10.45,1.2,post,0.0,-1.0,0.0,1.0,0.5,-0.866025
Container,42799,ARICA,SAN FRANCISCO DO SUL,82728500-5 - IAN TAYLOR,Sitio 2,MAERSK LINE,U4Gabac,58.66666666666666,9.65,-0.15,post,0.707107,-0.707107,0.433884,-0.900969,0.5,-0.866025
Liquid Bulk,16222,QUINTERO,SAN VICENTE,82728500-5 - IAN TAYLOR,Sitio 9,MOL,CAR CARRIERS,12.5,6.45,-0.3,post,-0.707107,-0.707107,-0.974928,-0.222521,0.5,-0.866025
Container,54465,RIO GRANDE - RS,CALLAO,80992000-3 - ULTRAMAR,Sitio 1,HAPAG-LLOYD CHILE SPA,SERVICIO CONOSUR / ABAC,22.33333333333333,12.3,0.95,post,-0.258819,-0.965926,-0.974928,-0.222521,0.5,-0.866025
Container,6406,LIRQUEN,PUNTA ARENAS,80992000-3 - ULTRAMAR,Sitio 3,TRANSMARES,CABOTAJE SUR,28.566666666666663,4.82,-1.66,post,-0.965926,0.258819,-0.974928,-0.222521,0.5,-0.866025
Liquid Bulk,12105,CORONEL,QUINTERO,80992000-3 - ULTRAMAR,Sitio 9,NON-LINER,NO SERVICE,12.85,7.75,0.95,post,1.0,0.0,0.781831,0.62349,0.5,-0.866025
Dry Bulk,35336,ROSARIO,BALBOA,80992000-3 - ULTRAMAR,Sitio 8,NON-LINER,NO SERVICE,118.0,12.2,6.745,post,0.707107,-0.707107,0.974928,-0.222521,0.5,-0.866025
Vehicle Carrier,65697,EAST LONDON,CALLAO,96566940-k - AGUNSA,Sitio 4/5,HYUNDAI GLOVIS INC.,CAR CARRIERS,10.95,8.7,-0.05,post,0.258819,-0.965926,-0.781831,0.62349,0.5,-0.866025
General Cargo,40250,MANTA,PUNTA DEL ESTE,80925100-4 - SOMARCO,Sitio 3,NON-LINER,NO SERVICE,29.316666666666663,6.95,0.0,post,-0.965926,-0.258819,-0.781831,0.62349,0.5,-0.866025
Liquid Bulk,15659,VALPARAISO,MEJILLONES,80992000-3 - ULTRAMAR,C1,ULTRAGAS,CABOTAJE,22.15,7.89,-2.6,post,-0.707107,0.707107,-0.781831,0.62349,0.5,-0.866025
Container,18321,CALLAO,CALLAO,96566940-k - AGUNSA,C1,ZIM,Colibri Express,16.65,6.85,-0.35,post,-0.707107,0.707107,0.974928,-0.222521,0.5,-0.866025
Vehicle Carrier,41662,CALLAO,SHANGHAI,96566940-k - AGUNSA,Sitio 4/5,NON-LINER,NO SERVICE,27.48333333333333,7.55,0.75,post,1.0,0.0,0.0,1.0,0.5,-0.866025
Vehicle Carrier,57350,IQUIQUE,SANTOS - SP,96566940-k - AGUNSA,Sitio 4/5,HYUNDAI GLOVIS INC.,CAR CARRIERS,23.433333333333334,7.55,0.775,post,-0.866025,0.5,0.974928,-0.222521,0.5,-0.866025
Container,17907,other_origins,CALLAO,96566940-k - AGUNSA,C1,ZIM,Colibri Express,16.166666666666668,8.25,-0.4,post,0.866025,-0.5,-0.433884,-0.900969,0.5,-0.866025
Container,26836,CALLAO,CALLAO,82728500-5 - IAN TAYLOR,C2,CMA CGM,Americas XL,24.98333333333333,7.05,-1.85,post,-0.866025,-0.5,0.433884,-0.900969,0.5,-0.866025
Container,39106,ANTOFAGASTA,SAN VICENTE,80992000-3 - ULTRAMAR,Sitio 2,HAPAG-LLOYD CHILE SPA,SERVICIO CONOSUR / ABAC,28.666666666666668,10.8,1.1,post,-0.258819,-0.965926,-0.433884,-0.900969,0.5,-0.866025
Dry Bulk,31882,SAN LORENZO,PATILLOS,80010900-0 - AGENTAL,Sitio 8,NON-LINER,NO SERVICE,91.5,10.08,4.325,post,0.866025,-0.5,0.0,1.0,0.5,-0.866025
Container,75308,LIRQUEN,MANZANILLO - MX,80925100-4 - SOMARCO,Sitio 1,COSCO GROUP,WSA3,19.58333333333333,11.7,1.525,post,-0.866025,-0.5,-0.974928,-0.222521,0.5,-0.866025
Container,39106,RIO GRANDE - RS,CALLAO,80992000-3 - ULTRAMAR,Sitio 2,HAPAG-LLOYD CHILE SPA,SERVICIO CONOSUR / ABAC,24.916666666666668,11.0,0.53,post,-0.965926,0.258819,-0.974928,-0.222521,0.5,-0.866025
Container,99995,CALLAO,HONG KONG,80992000-3 - ULTRAMAR,Sitio 1,EVERGREEN,WSA,32.833333333333336,12.0,0.85,post,-0.258819,-0.965926,-0.781831,0.62349,0.5,-0.866025
Container,95390,CALLAO,CORONEL,96707720-8 - MSC,C1,MSC,SAWC-USA-NWC,15.5,8.2,1.2,post,-0.5,-0.866025,0.0,1.0,0.5,-0.866025
Liquid Bulk,16222,SAN VICENTE,MATARANI,82728500-5 - IAN TAYLOR,Sitio 3,MOL,CAR CARRIERS,26.28333333333333,5.75,-0.15,post,0.866025,-0.5,0.433884,-0.900969,0.5,-0.866025
Container,39106,RIO GRANDE - RS,CALLAO,80992000-3 - ULTRAMAR,C1,HAPAG-LLOYD CHILE SPA,SERVICIO CONOSUR / ABAC,7.333333333333333,11.0,0.53,post,-0.707107,0.707107,-0.781831,0.62349,0.5,-0.866025
Dry Bulk,40250,LAZARO CARDENAS - MIC,SANTOS - SP,80925100-4 - SOMARCO,Sitio 3,NON-LINER,NO SERVICE,33.05,7.4,0.75,post,0.5,-0.866025,0.781831,0.62349,0.5,-0.866025
Container,43628,IQUIQUE,SAN VICENTE,82728500-5 - IAN TAYLOR,C2,MAERSK LINE,84Q ATACAMA FEEDER,18.933333333333334,9.85,1.75,post,0.0,-1.0,0.0,1.0,0.5,-0.866025
Vehicle Carrier,57692,MANZANILLO PANAMA,ULSAN,82728500-5 - IAN TAYLOR,Sitio 4/5,WWO,WCSA,46.86666666666667,8.89,1.415,during,-0.866025,0.5,0.974928,-0.222521,0.5,-0.866025
Vehicle Carrier,58767,IQUIQUE,NAGOYA - AICHI,78610880-2 - INCHCAPE,Sitio 4/5,NYK,CAR CARRIERS,19.766666666666666,8.95,1.0,post,0.258819,-0.965926,-0.974928,-0.222521,0.5,-0.866025
Vehicle Carrier,72684,SHANGHAI,BALBOA,82728500-5 - IAN TAYLOR,Sitio 4/5,EUKOR,CAR CARRIERS,80.7,8.975,1.775,post,0.258819,-0.965926,0.974928,-0.222521,0.5,-0.866025
Vehicle Carrier,40986,MANZANILLO PANAMA,ZARATE,78610880-2 - INCHCAPE,Sitio 4/5,NYK,CAR CARRIERS,11.583333333333334,8.1,0.55,during,-0.866025,0.5,0.781831,0.62349,0.5,-0.866025
Container,28592,other_origins,CALLAO,82728500-5 - IAN TAYLOR,C2,CMA CGM,Americas XL,19.7,8.05,0.5,post,-0.707107,0.707107,-0.433884,-0.900969,0.5,-0.866025
Container,114394,LIRQUEN,MANZANILLO - MX,80925100-4 - SOMARCO,Sitio 2,COSCO GROUP,WSA3,46.36666666666667,12.6,0.5,post,-0.707107,0.707107,-0.974928,-0.222521,0.5,-0.866025
Container,26833,CALLAO,CALLAO,82728500-5 - IAN TAYLOR,C2,CMA CGM,Americas XL,30.866666666666667,8.95,0.65,post,-0.866025,-0.5,-0.433884,-0.900969,0.5,-0.866025
Container,116568,CALLAO,LIRQUEN,80925100-4 - SOMARCO,Sitio 2,COSCO GROUP,WSA3,42.5,9.9,0.25,post,-0.866025,0.5,-0.974928,-0.222521,0.5,-0.866025
Container,29316,CALLAO,CALLAO,82728500-5 - IAN TAYLOR,C1,CMA CGM,Americas XL,26.85,7.65,-1.2,post,-0.258819,-0.965926,-0.433884,-0.900969,0.5,-0.866025
Vehicle Carrier,58767,ZARATE,IQUIQUE,78610880-2 - INCHCAPE,Sitio 4/5,NYK,CAR CARRIERS,10.7,9.1,0.15,post,-0.5,0.866025,-0.974928,-0.222521,0.5,-0.866025
Container,92293,MEJILLONES,TAURANGA,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,699/ AC3,29.15,11.25,1.35,during,-0.258819,0.965926,0.0,1.0,0.5,-0.866025
Container,42609,IQUIQUE,SAN VICENTE,82728500-5 - IAN TAYLOR,C2,MAERSK LINE,84Q ATACAMA FEEDER,25.7,8.55,-0.3,post,0.0,-1.0,0.781831,0.62349,0.5,-0.866025
Container,92198,MEJILLONES,TAURANGA,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,699/ AC3,29.616666666666667,11.05,0.725,post,-0.258819,0.965926,0.0,1.0,0.5,-0.866025
Container,26836,ARICA,SAN FRANCISCO DO SUL,82728500-5 - IAN TAYLOR,Sitio 2,MAERSK LINE,U4Gabac,22.83333333333333,9.55,1.45,post,-0.258819,-0.965926,-0.433884,-0.900969,0.5,-0.866025
Container,42799,RIO GRANDE - RS,CALLAO,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,U4Gabac,16.7,12.05,-0.1,post,1.0,0.0,0.0,1.0,0.5,-0.866025
Container,92198,MEJILLONES,TAURANGA,82728500-5 - IAN TAYLOR,Sitio 1,MAERSK LINE,699/ AC3,38.41666666666666,10.8,-0.15,post,0.0,1.0,0.781831,0.62349,0.5,-0.866025
Container,153733,CALLAO,CORONEL,96707720-8 - MSC,Sitio 1,MSC,Andes,32.0,11.05,1.9,post,-0.258819,0.965926,-0.974928,-0.222521,0.5,-0.866025
Vehicle Carrier,55729,SANTOS - SP,CALLAO,96566940-k - AGUNSA,C1,HYUNDAI GLOVIS INC.,CAR CARRIERS,9.666666666666666,7.8,0.2,post,0.0,-1.0,0.781831,0.62349,0.5,-0.866025
Container,18848,CALLAO,CALLAO,96566940-k - AGUNSA,C1,ZIM,Colibri Express,13.95,6.0,0.55,post,-0.5,-0.866025,-0.433884,-0.900969,0.5,-0.866025
Container,43628,ARICA,IQUIQUE,82728500-5 - IAN TAYLOR,C2,MAERSK LINE,84Q ATACAMA FEEDER,13.533333333333331,9.2,0.3,post,0.965926,-0.258819,-0.781831,0.62349,0.5,-0.866025
Container,90507,CALLAO,HONG KONG,96566940-k - AGUNSA,Sitio 2,YANG MING,WSA6,45.0,11.25,0.52,post,-0.866025,-0.5,0.0,1.0,0.5,-0.866025
Dry Bulk,32379,BAHIA BLANCA,PATILLOS,80010900-0 - AGENTAL,Sitio 8,NON-LINER,NO SERVICE,96.25,12.2,6.7,post,0.866025,-0.5,0.0,1.0,0.0,-1.0
Dry Bulk,23703,ARICA,CORONEL,78986820-4 - B&M,C1,NON-LINER,NO SERVICE,51.66666666666666,6.6,0.9,post,0.707107,0.707107,-0.974928,-0.222521,0.0,-1.0
Container,94469,CALLAO,CORONEL,96707720-8 - MSC,C1,MSC,SAWC-USA-NWC,22.83333333333333,9.875,1.025,post,-0.866025,0.5,0.0,1.0,0.5,-0.866025
Dry Bulk,22683,SAN LORENZO,SAN ANTONIO - CL,78986820-4 - B&M,Sitio 4/5,NON-LINER,NO SERVICE,59.3,10.125,4.88,post,0.0,-1.0,0.974928,-0.222521,0.5,-0.866025
Container,118945,CALLAO,CALLAO,80992000-3 - ULTRAMAR,C1,HAPAG-LLOYD CHILE SPA,Eurosal,28.616666666666667,8.5,-0.15,post,-0.707107,0.707107,0.781831,0.62349,0.5,-0.866025
Dry Bulk,22683,SAN LORENZO,SAN ANTONIO - CL,78986820-4 - B&M,C1,NON-LINER,NO SERVICE,96.7,10.125,4.88,post,0.258819,-0.965926,-0.974928,-0.222521,0.0,-1.0
Dry Bulk,36396,SANTOS - SP,BALBOA,80992000-3 - ULTRAMAR,Sitio 8,NON-LINER,NO SERVICE,23.83333333333333,10.52,4.84,post,-0.258819,0.965926,0.781831,0.62349,0.5,-0.866025
Dry Bulk,23232,SAN LORENZO,SAN ANTONIO - CL,78986820-4 - B&M,Sitio 8,NON-LINER,NO SERVICE,79.75,10.085,4.585,post,-0.258819,0.965926,0.433884,-0.900969,0.0,-1.0
Container,141406,CALLAO,CORONEL,96707720-8 - MSC,Sitio 1,MSC,Andes,31.416666666666668,11.275,1.125,post,-0.707107,-0.707107,0.433884,-0.900969,0.0,-1.0
Container,118945,CALLAO,CALLAO,80992000-3 - ULTRAMAR,C1,HAPAG-LLOYD CHILE SPA,Eurosal,27.666666666666668,8.5,-0.15,post,-0.258819,-0.965926,0.433884,-0.900969,0.0,-1.0
General Cargo,11638,CORONEL,CALLAO,80992000-3 - ULTRAMAR,Sitio 3,NON-LINER,NO SERVICE,16.916666666666668,6.05,-1.15,post,-0.707107,0.707107,-0.433884,-0.900969,0.0,-1.0
